,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
95,2023/01/31 2:57:24 пп GMT+2,Female,17,yes,Сentral-north,temp_abroad,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
96,2023/01/31 4:19:47 пп GMT+2,Female,40,yes,Сentral-north,perm_abroad,5,3,"['English', 'russian']","['Ukrainian', 'English', 'russian']",3,2
97,2023/01/31 4:26:08 пп GMT+2,Female,50,yes,East,temp_abroad,5,5,"['Ukrainian', 'russian']","['Ukrainian', 'russian']",3,3
98,2023/01/31 4:33:39 пп GMT+2,Female,53,yes,South,perm_abroad,4,2,['other'],['Ukrainian'],3,2
99,2023/01/31 5:05:21 пп GMT+2,Female,37,yes,Сentral-north,temp_abroad,2,1,"['Ukrainian', 'russian']",['Ukrainian'],3,2
100,2023/01/31 5:49:10 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,4,1,['Ukrainian'],['Ukrainian'],4,1
101,2023/01/31 5:58:00 пп GMT+2,Male,64,yes,East,temp_abroad,2,4,['Ukrainian'],['Ukrainian'],2,1
102,2023/01/31 6:14:42 пп GMT+2,Male,18,yes,Сentral-north,temp_abroad,3,3,"['Ukrainian', 'English']",['English'],2,2
103,2023/01/31 6:16:06 пп GMT+2,Female,21,yes,East,in_Ukraine,5,3,['russian'],"['Ukrainian', 'russian']",4,1
104,2023/01/31 6:33:00 пп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,2,1,['English'],['English'],3,1
105,2023/01/31 6:35:36 пп GMT+2,Male,19,yes,Сentral-north,perm_abroad,4,4,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,2
106,2023/01/31 6:50:20 пп GMT+2,Female,44,yes,South,temp_abroad,4,3,['Ukrainian'],['Ukrainian'],2,2
107,2023/01/31 7:11:33 пп GMT+2,Female,28,yes,Сentral-north,temp_abroad,2,1,"['Ukrainian', 'russian']",['Ukrainian'],2,1
108,2023/01/31 10:36:45 пп GMT+2,Female,25,yes,Сentral-north,temp_abroad,2,1,['Ukrainian'],"['Ukrainian', 'English']",3,2
109,2023/01/31 11:49:44 пп GMT+2,Female,54,yes,Сentral-north,temp_abroad,3,2,['russian'],['Ukrainian'],3,2
110,2023/02/01 12:13:43 дп GMT+2,Female,52,yes,East,temp_abroad,5,5,['russian'],['Ukrainian'],2,1
111,2023/02/01 10:29:54 дп GMT+2,Female,42,yes,Сentral-north,temp_abroad,3,3,['russian'],['other'],2,2
112,2023/02/01 10:52:25 дп GMT+2,Male,43,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",2,1
113,2023/02/01 10:57:47 дп GMT+2,Female,20,yes,Сentral-north,in_Ukraine,3,3,['russian'],"['Ukrainian', 'russian']",3,2
114,2023/02/01 10:58:43 дп GMT+2,Male,35,yes,South,in_Ukraine,5,4,"['Ukrainian', 'russian']",['Ukrainian'],3,1
115,2023/02/01 10:59:44 дп GMT+2,Female,33,yes,Сentral-north,in_Ukraine,3,2,['russian'],['Ukrainian'],3,2
116,2023/02/01 10:59:51 дп GMT+2,Female,30,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'russian']","['Ukrainian', 'russian']",3,2
